Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
apex2,128,150,575,248,230,271,258
aph1b,2153,2370,5425,2527,3534,3657,4936
api5,851,480,1436,961,861,1043,1327
apip,1351,3799,2802,1333,1480,2609,2150
aplf,571,475,1414,824,888,1025,1190
apln,20,20,14,2,18,14,9
aplnr2,1,0,3,2,2,2,4
aplnra,13,10,6,12,64,15,47
aplp1,683,260,89,103,466,86,251
aplp2,4484,2956,7375,2790,5816,2551,7529
apmap,1790,1696,4877,1718,2246,2240,2370
apnl,33,475,636,178,245,15,20
apoa1b,132,166,156,32,1322,104,60
apoa2,12,14,0,2,402,2,10
apoa4a,14,37,116,46,48,97,63
apobb.1,100,34,111,28,158,99,112
apobec2b,22,11,24,5,8,16,7
apoc1,48,68,10,0,420,0,17
apoc2,233,429,124,328,170,134,234
apoc4,0,0,0,0,10,0,0
apodb,74,46,67,36,49,48,68
apoea,3,0,57,6,402,2,4
apoeb,3329,2186,1466,1314,2093,1656,2952
apof,6,8,10,3,29,18,10
apol1,3516,3488,3560,3753,3350,2934,1892
apol,6,6,26,26,9,39,30
apold1b,181,69,701,211,240,354,407
apool,912,1620,1946,1397,1415,1378,1447
appa,3881,2496,4135,2272,4788,2280,4752
appbp2,395,333,538,387,444,486,663
appl1,2060,297,883,1518,1115,831,1037
appl2,828,675,1177,1089,1037,1074,1058
aprt,1395,3173,2247,2276,2557,1453,1776
aptx,505,644,697,534,491,716,783
aqp10a,32,4,19,266,27,65,1
aqp12,6,4,7,1,17,4,2
aqp4,203,111,82,1927,226,602,78
aqp7,458,868,66,84,143,132,157
aqp9b,441,506,372,372,585,553,684
aqr,1484,1161,4750,1915,1760,3095,1853
araf,1230,498,1275,784,801,1151,1452
arap2,154,262,522,427,179,219,605
arap3,2119,2295,2481,1583,1318,1078,1027
arb2a,803,485,1118,603,673,812,911
areg,685,400,791,520,638,531,417
arel1,833,313,654,902,561,654,674
arf2b,3465,3307,5081,3786,5396,3079,4201
arf3a,303,341,635,212,202,501,679
arf6b,1896,1109,2116,1785,2231,1860,3384
arfgap1,1054,846,1914,1040,1321,1422,1475
